scenario,type,method,domain,url_redacted
doradobet_home_desktop,Image,GET,dsp.nrich.ai,https://dsp.nrich.ai/bidswitch/sync?bidswitch_ssp_id=between&bsw_custom_parameter=41ef1170-aaf3-4b3f-aec0-c687bbc6d6b7&gdpr=0&gdpr_consent=&gdpr_pd=&us_privacy=
doradobet_home_desktop,Image,GET,x.bidswitch.net,https://x.bidswitch.net/sync?dsp_id=283&user_id=[REDACTED]&expires=1&user_group=5&ssp=between&bsw_param=41ef1170-aaf3-4b3f-aec0-c687bbc6d6b7&gdpr=0&gdpr_consent=&gdpr_pd=
doradobet_home_mobile,Script,GET,fpjscdn.net,https://fpjscdn.net/v4/PmGJOlgFXlEl6IqCC6Bi
doradobet_home_mobile,Fetch,GET,api.fpjs.io,https://api.fpjs.io/xridvya/qAo6p?q=PmGJOlgFXlEl6IqCC6Bi
doradobet_home_mobile,Fetch,POST,api.fpjs.io,https://api.fpjs.io/?ci=js/4.0.3&q=PmGJOlgFXlEl6IqCC6Bi
doradobet_home_mobile,Script,GET,a.mgid.com,https://a.mgid.com/mgsensor.js?d=1780274285226&source=gtm
doradobet_home_mobile,Script,GET,tm.ads.sportradar.com,https://tm.ads.sportradar.com/dist/tag-manager.js?id=STM-AAAAKI
doradobet_home_mobile,Script,GET,dynamic.criteo.com,https://dynamic.criteo.com/js/ld/ld.js?a=126083&a=126082&a=125840&a=125813&a=126084&a=125839
doradobet_home_mobile,Script,GET,acdn.adnxs.com,https://acdn.adnxs.com/dmp/up/pixie.js
doradobet_home_mobile,Script,GET,tracker.ads.sportradar.com,https://tracker.ads.sportradar.com/dist/tracker.js
doradobet_home_mobile,Script,GET,a.sportradarserving.com,https://a.sportradarserving.com/pixel?type=js&aid=1251&id=3281
doradobet_home_mobile,Image,GET,a.mgid.com,https://a.mgid.com/1x1.gif?id=965881&type=c&tg=&r=https%3A%2F%2Fdoradobet.com%2F&nv=1&clid=&d=1780274286076
doradobet_home_mobile,Document,GET,gum.criteo.com,https://gum.criteo.com/syncframe?topUrl=doradobet.com&origin=onetag
doradobet_home_mobile,Fetch,GET,ib.adnxs.com,https://ib.adnxs.com/pixie/up?pi=40457eb2-208e-4b49-837d-1e60b0766b55
doradobet_home_mobile,Script,GET,tracker.ads.sportradar.com,https://tracker.ads.sportradar.com/dist//sp-3.8.0.js
doradobet_home_mobile,Script,GET,track.adform.net,https://track.adform.net/Serving/Cookie/?adfaction=getjs;adfcookname=uid
doradobet_home_mobile,Script,GET,a2.adform.net,https://a2.adform.net/serving/scripts/trackpoint/async/
doradobet_home_mobile,Document,GET,bit.ly,https://bit.ly/3tv3Jxc
doradobet_home_mobile,Document,GET,bit.ly,https://bit.ly/3RnpeIp
doradobet_home_mobile,Image,GET,ib.adnxs.com,https://ib.adnxs.com/pixie?e=PageView&pi=40457eb2-208e-4b49-837d-1e60b0766b55&it=1780274286552&v=0.0.45&u=https%3A%2F%2Fdoradobet.com%2F&st=1780274286552&et=1780274287330&if=0&uetmsmid=2413483d-78e1-4cbb-ad2a-103ab2a19b3e&asce=0&ascc=0&tcfhl=0&tcfe=0&tcfgdpr=0&tcfc=0
doradobet_home_mobile,Document,GET,go.xlviiirdr.com,https://go.xlviiirdr.com/api/goToTheTag?sourceId=doradobet.com&userId=[REDACTED]&tag=girls/latin&showModal=signup
doradobet_home_mobile,Document,GET,chaturbate.com,https://chaturbate.com/in/?tour=grq0&campaign=Bxm5E&track=doradobet.com
doradobet_home_mobile,Script,GET,s2.adform.net,https://s2.adform.net/banners/scripts/st/trackpoint-async.js
doradobet_home_mobile,Document,GET,chaturbate.com,https://chaturbate.com/?join_overlay=1&campaign=Bxm5E&tour=grq0&track=doradobet.com&disable_sound=0
doradobet_home_mobile,Script,GET,a2.adform.net,https://a2.adform.net/Serving/TrackPoint/?pm=3165913&ADFPageName=DoradoBet_HomePage&ADFdivider=%7C&ord=930081631420&ADFtpmode=2&itm=eyJzdjEiOltdfQ&loc=https%3A%2F%2Fdoradobet.com%2F&Set1=es-419%7Ces-419%7C390x844%7C24
doradobet_home_mobile,Script,GET,a2.adform.net,https://a2.adform.net/Serving/TrackPoint/?CC=1&pm=3165913&ADFPageName=DoradoBet_HomePage&ADFdivider=%7C&ord=930081631420&ADFtpmode=2&itm=eyJzdjEiOltdfQ&loc=https%3A%2F%2Fdoradobet.com%2F&Set1=es-419%7Ces-419%7C390x844%7C24
doradobet_home_mobile,Document,GET,a2.adform.net,https://a2.adform.net/serving/container/?pm=3165913&lid=141310029&ctype=0&media=0&PageName=DoradoBet_HomePage&rnd=1287012483&cpref=&loc=https%3a%2f%2fdoradobet.com%2f
doradobet_home_mobile,Document,GET,c1.adform.net,https://c1.adform.net/imatch/pixels?bt=0&uid=[REDACTED]&agencyId=9009&advertiserId=2176198&src=tp&rnd=682156
doradobet_home_mobile,Image,GET,a1.seadform.net,https://a1.seadform.net/serving/cookie/sync/?uid=[REDACTED]&stamp=8KoczLAblQoDvP-67D9Y4w2
doradobet_home_mobile,Script,GET,sslwidget.criteo.com,https://sslwidget.criteo.com/event?a=%5B126083%2C126082%2C125840%2C125813%2C126084%2C125839%5D&v=5.46.0&csp-nonce=undefined&p0=e%3Dce%26m%3D%255B%255D%26h%3Dsha256&p1=e%3Dexd%26site_type%3Dm&p2=e%3Dvh%26tms%3Dgtm-criteo-custom&p3=e%3Ddis%26a%3D%255B126083%252C126082%252C125840%252C125813%252C126084%252C125839%255D&bundle=PWf6dl95SHNuJTJCZWVNN0VURzloN3kzN0lRZVowUUhBaDlIaGRDb3ZhVEpoNVptRFk2SjNQRTA0S1FTSHdyJTJCRnZrVW5sc2YlMkZnN2RueUpRbHdqZ3NVTDN4S0tNdGNDRUZwZHR3OEZTamJJbFZZUzB2T2NMJTJGcjUzd0FKVnFGaU5MUmlhZFNsJTJGQ0g5QiUyRmJmOSUyRjluY3UycWRkJTJGbnJBJTNEJTNE&sc=%7B%22fbp%22%3A%22fb.1.1780274286876.2802839255%22%2C%22ttp%22%3A%2201KT09VMCDXVQ4ZZ5ZT48C76C5_.tt.1%22%7D&tld=doradobet.com&dy=1&fu=https%253A%252F%252Fdoradobet.com%252F&ceid=be881a1a-2d84-4c81-8959-3301810844f5
doradobet_home_mobile,Image,GET,x.bidswitch.net,https://x.bidswitch.net/sync?dsp_id=46&user_id=[REDACTED]&expires=30
doradobet_home_mobile,Image,GET,cm.g.doubleclick.net,https://cm.g.doubleclick.net/pixel?google_nid=cjp&google_sc&google_ula=913071&CriteoUserId=[REDACTED]&google_cm&google_hm=[REDACTED]
doradobet_home_mobile,Image,GET,ib.adnxs.com,https://ib.adnxs.com/getuid?https://dis.criteo.com/dis/rtb/appnexus/cookiematch.aspx?appnxsid=$UID
doradobet_home_mobile,Image,GET,gum.criteo.com,https://gum.criteo.com/sync?c=8&r=1&a=1&u=https%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D28645%26dpuuid%3D%40USERID%40
doradobet_home_mobile,Image,GET,sync.outbrain.com,https://sync.outbrain.com/cookie-sync?p=criteo&uid=[REDACTED]&initiator=partner
doradobet_home_mobile,Image,GET,pixel.rubiconproject.com,https://pixel.rubiconproject.com/tap.php?v=6434&nid=2149&put=[REDACTED]&expires=30
doradobet_home_mobile,Image,GET,sync-t1.taboola.com,https://sync-t1.taboola.com/sg/criteortb-network/1/rtb-h/?taboola_hm=[REDACTED]
doradobet_home_mobile,Image,GET,criteo-sync.teads.tv,https://criteo-sync.teads.tv/um?eid=80&uid=[REDACTED]
doradobet_home_mobile,Image,GET,criteo-partners.tremorhub.com,https://criteo-partners.tremorhub.com/sync?UICR=k-JYR1gdIXaGZhOBWFBvCjMmxGCpoLI1Gt_sqMsA
doradobet_home_mobile,Image,GET,sync.1rx.io,https://sync.1rx.io/usersync/criteodsp/k-aRrobdIXaGZhOBWFBvCjMmxGCpqgANnT-88sXg
doradobet_home_mobile,Image,GET,x.bidswitch.net,https://x.bidswitch.net/sync?dsp_id=46&user_id=[REDACTED]&expires=30
doradobet_home_mobile,Image,GET,cm.g.doubleclick.net,https://cm.g.doubleclick.net/pixel?google_nid=cjp&google_sc&google_ula=913071&CriteoUserId=[REDACTED]&google_cm&google_hm=[REDACTED]
doradobet_home_mobile,Image,GET,ib.adnxs.com,https://ib.adnxs.com/getuid?https://dis.criteo.com/dis/rtb/appnexus/cookiematch.aspx?appnxsid=$UID
doradobet_home_mobile,Image,GET,gum.criteo.com,https://gum.criteo.com/sync?c=8&r=1&a=1&u=https%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D28645%26dpuuid%3D%40USERID%40
doradobet_home_mobile,Image,GET,sync.outbrain.com,https://sync.outbrain.com/cookie-sync?p=criteo&uid=[REDACTED]&initiator=partner
doradobet_home_mobile,Image,GET,pixel.rubiconproject.com,https://pixel.rubiconproject.com/tap.php?v=6434&nid=2149&put=[REDACTED]&expires=30
doradobet_home_mobile,Image,GET,sync-t1.taboola.com,https://sync-t1.taboola.com/sg/criteortb-network/1/rtb-h/?taboola_hm=[REDACTED]
doradobet_home_mobile,Image,GET,criteo-sync.teads.tv,https://criteo-sync.teads.tv/um?eid=80&uid=[REDACTED]
doradobet_home_mobile,Image,GET,criteo-partners.tremorhub.com,https://criteo-partners.tremorhub.com/sync?UICR=k-JYR1gdIXaGZhOBWFBvCjMmxGCpoLI1Gt_sqMsA
doradobet_home_mobile,Image,GET,sync.1rx.io,https://sync.1rx.io/usersync/criteodsp/k-aRrobdIXaGZhOBWFBvCjMmxGCpqgANnT-88sXg
doradobet_home_mobile,Image,GET,x.bidswitch.net,https://x.bidswitch.net/sync?dsp_id=46&user_id=[REDACTED]&expires=30
doradobet_home_mobile,Image,GET,cm.g.doubleclick.net,https://cm.g.doubleclick.net/pixel?google_nid=cjp&google_sc&google_ula=913071&CriteoUserId=[REDACTED]&google_cm&google_hm=[REDACTED]
doradobet_home_mobile,Image,GET,ib.adnxs.com,https://ib.adnxs.com/getuid?https://dis.criteo.com/dis/rtb/appnexus/cookiematch.aspx?appnxsid=$UID
doradobet_home_mobile,Image,GET,gum.criteo.com,https://gum.criteo.com/sync?c=8&r=1&a=1&u=https%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D28645%26dpuuid%3D%40USERID%40
doradobet_home_mobile,Image,GET,sync.outbrain.com,https://sync.outbrain.com/cookie-sync?p=criteo&uid=[REDACTED]&initiator=partner
doradobet_home_mobile,Image,GET,pixel.rubiconproject.com,https://pixel.rubiconproject.com/tap.php?v=6434&nid=2149&put=[REDACTED]&expires=30
doradobet_home_mobile,Image,GET,sync-t1.taboola.com,https://sync-t1.taboola.com/sg/criteortb-network/1/rtb-h/?taboola_hm=[REDACTED]
doradobet_home_mobile,Image,GET,criteo-sync.teads.tv,https://criteo-sync.teads.tv/um?eid=80&uid=[REDACTED]
doradobet_home_mobile,Image,GET,criteo-partners.tremorhub.com,https://criteo-partners.tremorhub.com/sync?UICR=k-JYR1gdIXaGZhOBWFBvCjMmxGCpoLI1Gt_sqMsA
doradobet_home_mobile,Image,GET,sync.1rx.io,https://sync.1rx.io/usersync/criteodsp/k-aRrobdIXaGZhOBWFBvCjMmxGCpqgANnT-88sXg
doradobet_home_mobile,Image,GET,x.bidswitch.net,https://x.bidswitch.net/sync?dsp_id=46&user_id=[REDACTED]&expires=30
doradobet_home_mobile,Image,GET,cm.g.doubleclick.net,https://cm.g.doubleclick.net/pixel?google_nid=cjp&google_sc&google_ula=913071&CriteoUserId=[REDACTED]&google_cm&google_hm=[REDACTED]
doradobet_home_mobile,Image,GET,ib.adnxs.com,https://ib.adnxs.com/getuid?https://dis.criteo.com/dis/rtb/appnexus/cookiematch.aspx?appnxsid=$UID
doradobet_home_mobile,Image,GET,gum.criteo.com,https://gum.criteo.com/sync?c=8&r=1&a=1&u=https%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D28645%26dpuuid%3D%40USERID%40
doradobet_home_mobile,Image,GET,sync.outbrain.com,https://sync.outbrain.com/cookie-sync?p=criteo&uid=[REDACTED]&initiator=partner
doradobet_home_mobile,Image,GET,pixel.rubiconproject.com,https://pixel.rubiconproject.com/tap.php?v=6434&nid=2149&put=[REDACTED]&expires=30
doradobet_home_mobile,Image,GET,sync-t1.taboola.com,https://sync-t1.taboola.com/sg/criteortb-network/1/rtb-h/?taboola_hm=[REDACTED]
doradobet_home_mobile,Image,GET,criteo-sync.teads.tv,https://criteo-sync.teads.tv/um?eid=80&uid=[REDACTED]
doradobet_home_mobile,Image,GET,criteo-partners.tremorhub.com,https://criteo-partners.tremorhub.com/sync?UICR=k-JYR1gdIXaGZhOBWFBvCjMmxGCpoLI1Gt_sqMsA
doradobet_home_mobile,Image,GET,sync.1rx.io,https://sync.1rx.io/usersync/criteodsp/k-aRrobdIXaGZhOBWFBvCjMmxGCpqgANnT-88sXg
doradobet_home_mobile,Image,GET,x.bidswitch.net,https://x.bidswitch.net/sync?dsp_id=46&user_id=[REDACTED]&expires=30
doradobet_home_mobile,Image,GET,cm.g.doubleclick.net,https://cm.g.doubleclick.net/pixel?google_nid=cjp&google_sc&google_ula=913071&CriteoUserId=[REDACTED]&google_cm&google_hm=[REDACTED]
doradobet_home_mobile,Image,GET,ib.adnxs.com,https://ib.adnxs.com/getuid?https://dis.criteo.com/dis/rtb/appnexus/cookiematch.aspx?appnxsid=$UID
doradobet_home_mobile,Image,GET,gum.criteo.com,https://gum.criteo.com/sync?c=8&r=1&a=1&u=https%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D28645%26dpuuid%3D%40USERID%40
doradobet_home_mobile,Image,GET,sync.outbrain.com,https://sync.outbrain.com/cookie-sync?p=criteo&uid=[REDACTED]&initiator=partner
doradobet_home_mobile,Image,GET,pixel.rubiconproject.com,https://pixel.rubiconproject.com/tap.php?v=6434&nid=2149&put=[REDACTED]&expires=30
doradobet_home_mobile,Image,GET,sync-t1.taboola.com,https://sync-t1.taboola.com/sg/criteortb-network/1/rtb-h/?taboola_hm=[REDACTED]
doradobet_home_mobile,Image,GET,criteo-sync.teads.tv,https://criteo-sync.teads.tv/um?eid=80&uid=[REDACTED]
doradobet_home_mobile,Image,GET,criteo-partners.tremorhub.com,https://criteo-partners.tremorhub.com/sync?UICR=k-JYR1gdIXaGZhOBWFBvCjMmxGCpoLI1Gt_sqMsA
doradobet_home_mobile,Image,GET,sync.1rx.io,https://sync.1rx.io/usersync/criteodsp/k-aRrobdIXaGZhOBWFBvCjMmxGCpqgANnT-88sXg
doradobet_home_mobile,Image,GET,x.bidswitch.net,https://x.bidswitch.net/sync?dsp_id=46&user_id=[REDACTED]&expires=30
doradobet_home_mobile,Image,GET,cm.g.doubleclick.net,https://cm.g.doubleclick.net/pixel?google_nid=cjp&google_sc&google_ula=913071&CriteoUserId=[REDACTED]&google_cm&google_hm=[REDACTED]
doradobet_home_mobile,Image,GET,ib.adnxs.com,https://ib.adnxs.com/getuid?https://dis.criteo.com/dis/rtb/appnexus/cookiematch.aspx?appnxsid=$UID
doradobet_home_mobile,Image,GET,gum.criteo.com,https://gum.criteo.com/sync?c=8&r=1&a=1&u=https%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D28645%26dpuuid%3D%40USERID%40
doradobet_home_mobile,Image,GET,sync.outbrain.com,https://sync.outbrain.com/cookie-sync?p=criteo&uid=[REDACTED]&initiator=partner
doradobet_home_mobile,Image,GET,pixel.rubiconproject.com,https://pixel.rubiconproject.com/tap.php?v=6434&nid=2149&put=[REDACTED]&expires=30
doradobet_home_mobile,Image,GET,sync-t1.taboola.com,https://sync-t1.taboola.com/sg/criteortb-network/1/rtb-h/?taboola_hm=[REDACTED]
doradobet_home_mobile,Image,GET,criteo-sync.teads.tv,https://criteo-sync.teads.tv/um?eid=80&uid=[REDACTED]
doradobet_home_mobile,Image,GET,criteo-partners.tremorhub.com,https://criteo-partners.tremorhub.com/sync?UICR=k-JYR1gdIXaGZhOBWFBvCjMmxGCpoLI1Gt_sqMsA
