scenario,final_url,domains_count,popups,downloads,local_storage_keys,screenshot_before,screenshot_after,redacted_json
doradobet_home_desktop,https://doradobet.com/,62,0,0,15,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/doradobet_home_desktop/before.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/doradobet_home_desktop/after.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/publicable/doradobet_home_desktop.redacted.json
doradobet_home_mobile,https://doradobet.com/,86,0,0,15,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/doradobet_home_mobile/before.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/doradobet_home_mobile/after.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/publicable/doradobet_home_mobile.redacted.json
doradobet_pwa_mobile,https://doradobet.com/landing/app-pwa,68,0,0,23,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/doradobet_pwa_mobile/before.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/doradobet_pwa_mobile/after.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/publicable/doradobet_pwa_mobile.redacted.json
doradobet_register_desktop,https://doradobet.com/registro,69,0,0,23,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/doradobet_register_desktop/before.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/doradobet_register_desktop/after.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/publicable/doradobet_register_desktop.redacted.json
futbol_espn_desktop_click,https://futbol-libre.su/espn-1/,8,1,0,0,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/futbol_espn_desktop_click/before.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/futbol_espn_desktop_click/after.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/publicable/futbol_espn_desktop_click.redacted.json
futbol_espn_mobile_click,https://futbol-libre.su/espn-1/,8,0,0,0,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/futbol_espn_mobile_click/before.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/futbol_espn_mobile_click/after.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/publicable/futbol_espn_mobile_click.redacted.json
futbol_home_desktop,https://futbol-libre.su/,10,0,0,0,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/futbol_home_desktop/before.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/extended/futbol_home_desktop/after.png,/Users/walterjaldin/Documents/Claude/Projects/Futbol-Libre/evidencias/publicable/futbol_home_desktop.redacted.json
